"filename", "language", "C++", "JSON", "Markdown", "Swift", "HTML", "XML", "Dart", "YAML", "Groovy", "Properties", "comment", "blank", "total"
"e:\Flutter Projects\medo_app\lib\screens.dart\Notification screen\notification_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 4, 138
"e:\Flutter Projects\medo_app\lib\screens.dart\intro screens\intro_screen1.dart", "Dart", 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 17, 9, 216
"e:\Flutter Projects\medo_app\lib\screens.dart\intro screens\intro_screen2.dart", "Dart", 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 17, 6, 209
"e:\Flutter Projects\medo_app\lib\screens.dart\intro screens\intro_screen3.dart", "Dart", 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 25, 11, 239
"e:\Flutter Projects\medo_app\lib\screens.dart\intro screens\intro_screens.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 7, 5, 80
"e:\Flutter Projects\medo_app\lib\screens.dart\splash_screens\splash_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 7, 6, 83
"e:\Flutter Projects\medo_app\lib\screens.dart\splash_screens\splash_screen_2.dart", "Dart", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 13, 6, 120
"e:\Flutter Projects\medo_app\lib\utils\routes\routes_names.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"e:\Flutter Projects\medo_app\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"e:\Flutter Projects\medo_app\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Flutter Projects\medo_app\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Flutter Projects\medo_app\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"e:\Flutter Projects\medo_app\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\Flutter Projects\medo_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 4, 13
"e:\Flutter Projects\medo_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Flutter Projects\medo_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\Flutter Projects\medo_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"e:\Flutter Projects\medo_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\Flutter Projects\medo_app\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 49, 19, 101
"e:\Flutter Projects\medo_app\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"e:\Flutter Projects\medo_app\web\index.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"e:\Flutter Projects\medo_app\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\Flutter Projects\medo_app\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"e:\Flutter Projects\medo_app\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\Flutter Projects\medo_app\windows\runner\flutter_window.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"e:\Flutter Projects\medo_app\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\Flutter Projects\medo_app\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\Flutter Projects\medo_app\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\Flutter Projects\medo_app\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"e:\Flutter Projects\medo_app\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\Flutter Projects\medo_app\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"e:\Flutter Projects\medo_app\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 529, 248, 13, 38, 38, 466, 2700, 36, 89, 8, 461, 457, 5083
